old_path,new_path,year,title,video_id,date
03_Reference/transcripts/20210101-Pv_OZJZOCYk.txt,03_Reference/transcripts/2021/Patrik Laine TRADE To The Philadelphia Flyers Coming Soon [Pv_OZJZOCYk].txt,2021,Patrik Laine TRADE To The Philadelphia Flyers Coming Soon?,Pv_OZJZOCYk,2021-01-01
03_Reference/transcripts/20210106-IZt3K-7Ax9Q.txt,03_Reference/transcripts/2021/Pierre Luc Dubois TRADE To The Montreal Canadiens Might Happen Here's Why [IZt3K-7Ax9Q].txt,2021,Pierre Luc Dubois TRADE To The Montreal Canadiens Might Happen: Here's Why,IZt3K-7Ax9Q,2021-01-06
03_Reference/transcripts/20210117-6i8aspJ5cfs.txt,03_Reference/transcripts/2021/EARLY 2021 NHL Mock Draft Rankings (TOP 10 Prospects) [6i8aspJ5cfs].txt,2021,EARLY 2021 NHL Mock Draft Rankings (TOP 10 Prospects),6i8aspJ5cfs,2021-01-17
03_Reference/transcripts/20210201-Ku9XmSZo8pY.txt,03_Reference/transcripts/2021/Why Tim Stützle Is a BETTER Player Than Alexis Lafreniere and Will Have a Better Career [Ku9XmSZo8pY].txt,2021,Why Tim Stützle Is a BETTER Player Than Alexis Lafreniere and Will Have a Better Career,Ku9XmSZo8pY,2021-02-01
03_Reference/transcripts/20210212-bJ3oaG2SI8M.txt,03_Reference/transcripts/2021/Why Nils Hoglander Will Be A BETTER Player Than Kirill Kaprizov And Will Have A Better Career [bJ3oaG2SI8M].txt,2021,Why Nils Hoglander Will Be A BETTER Player Than Kirill Kaprizov And Will Have A Better Career,bJ3oaG2SI8M,2021-02-12
03_Reference/transcripts/20210223-FbAW3QStMoQ.txt,03_Reference/transcripts/2021/Why Trevor Zegras Is The GREATEST NHL Prospect (And Could Be One Of The NHL's Best) [FbAW3QStMoQ].txt,2021,Why Trevor Zegras Is The GREATEST NHL Prospect (And Could Be One Of The NHL's Best),FbAW3QStMoQ,2021-02-23
03_Reference/transcripts/20210316-5JU4TpReflg.txt,03_Reference/transcripts/2021/Seattle Kraken 2021 MOCK DRAFT (1 Player From Every Team That Will Be On The Kraken) [5JU4TpReflg].txt,2021,Seattle Kraken 2021 MOCK DRAFT (1 Player From Every Team That Will Be On The Kraken),5JU4TpReflg,2021-03-16
03_Reference/transcripts/20210324-mAVyiK6n1zI.txt,03_Reference/transcripts/2021/David Pastrnak vs Auston Matthews Who Is The Best Sniper In The NHL (DEBATE) [mAVyiK6n1zI].txt,2021,David Pastrnak vs Auston Matthews: Who Is The Best Sniper In The NHL? (DEBATE),mAVyiK6n1zI,2021-03-24
03_Reference/transcripts/20210412-ioLkHSEEqSM.txt,03_Reference/transcripts/2021/Taylor Hall TRADE To The St. Louis Blues COMING SOON (2021 NHL Trade Deadline Rumours) [ioLkHSEEqSM].txt,2021,Taylor Hall TRADE To The St. Louis Blues COMING SOON? (2021 NHL Trade Deadline Rumours),ioLkHSEEqSM,2021-04-12
03_Reference/transcripts/20210412-jr6Ccr7AmNk.txt,03_Reference/transcripts/2021/TAYLOR HALL TRADED To The BOSTON BRUINS For 2nd and Anders Bjork (NHL Trade Deadline 2021) [jr6Ccr7AmNk].txt,2021,TAYLOR HALL TRADED To The BOSTON BRUINS For 2nd and Anders Bjork (NHL Trade Deadline 2021),jr6Ccr7AmNk,2021-04-12
03_Reference/transcripts/20210515-_tSb1KYU8dY.txt,03_Reference/transcripts/2021/My 2021 Stanley Cup Playoff Predictions (NHL Playoff Bracket Challenge) [_tSb1KYU8dY].txt,2021,My 2021 Stanley Cup Playoff Predictions (NHL Playoff Bracket Challenge),_tSb1KYU8dY,2021-05-15
